match_date,home_team,away_team,home_odds,draw_odds,away_odds
2018-06-19,Colombia,Japan,1.8150,3.3250,5.2600
2018-06-19,Poland,Senegal,2.4250,3.0250,3.3500
2018-06-19,Russia,Egypt,1.9900,3.3500,4.1750
2018-06-20,Iran,Spain,17.3000,6.5000,1.2050
2018-06-20,Portugal,Morocco,1.6750,3.5750,6.0750
2018-06-20,Uruguay,Saudi Arabia,1.2050,6.4500,18.1000
2018-06-21,Argentina,Croatia,2.1350,3.2000,3.8500
2018-06-21,Denmark,Australia,2.0200,3.2750,4.1750
2018-06-21,France,Peru,1.5950,3.8250,6.4250
2018-06-22,Brazil,Costa Rica,1.2000,6.5750,18.0000
2018-06-22,Nigeria,Iceland,2.9250,3.0250,2.7000
2018-06-22,Serbia,Switzerland,2.7750,2.9750,2.9000
2018-06-23,Belgium,Tunisia,1.3500,4.9000,10.7500
2018-06-23,Germany,Sweden,1.5150,4.3000,6.7000
2018-06-23,South Korea,Mexico,5.6500,3.6000,1.7050
2018-06-24,England,Panama,1.2150,6.2750,17.0000
2018-06-24,Japan,Senegal,3.1250,3.0400,2.5500
2018-06-24,Poland,Colombia,3.4500,3.3750,2.1950
2018-06-25,Iran,Portugal,6.1500,3.8250,1.6250
2018-06-25,Saudi Arabia,Egypt,4.8500,3.6250,1.8000
2018-06-25,Spain,Morocco,1.3600,4.9000,9.7000
2018-06-25,Uruguay,Russia,2.7500,3.0250,2.9100
2018-06-26,Australia,Peru,2.9000,3.4750,2.4150
2018-06-26,Denmark,France,4.8500,2.7250,2.1000
2018-06-26,Iceland,Croatia,4.1250,3.8250,1.8650
2018-06-26,Nigeria,Argentina,5.8750,4.7750,1.5100
2018-06-27,Serbia,Brazil,7.1000,4.3750,1.4950
2018-06-27,South Korea,Germany,16.7500,7.7500,1.1700
2018-06-27,Switzerland,Costa Rica,1.6050,3.5750,7.2500
2018-06-28,England,Belgium,2.5400,2.8500,3.4000
2018-06-28,Japan,Poland,2.8250,3.1000,2.7400
2018-06-28,Panama,Tunisia,4.3500,3.7000,1.8500
2018-06-28,Senegal,Colombia,4.8000,3.6750,1.7900
2018-06-30,France,Argentina,2.3750,3.0250,3.4250
2018-06-30,Uruguay,Portugal,2.9250,2.9000,2.8000
2018-07-01,Croatia,Denmark,1.9600,3.2000,4.5750
2018-07-01,Spain,Russia,1.5600,4.1250,6.4000
2018-07-02,Belgium,Japan,1.4050,4.6500,9.1250
2018-07-02,Brazil,Mexico,1.4950,4.2750,7.3250
2018-07-03,Colombia,England,3.9500,3.0750,2.1600
2018-07-03,Sweden,Switzerland,3.1250,2.9000,2.6350
2018-07-06,Brazil,Belgium,2.1350,3.4000,3.6000
2018-07-06,Uruguay,France,4.4500,3.1000,2.0250
2018-07-07,Russia,Croatia,4.0000,3.1500,2.0850
2018-07-07,Sweden,England,4.8750,3.2750,1.8800
2018-07-10,France,Belgium,2.5600,3.1000,3.0500
2018-07-11,Croatia,England,3.6000,2.9750,2.3000
2018-07-14,Belgium,England,2.2200,3.7000,3.0750
2018-07-15,France,Croatia,2.0700,3.0750,4.3000
2022-11-24,Brazil,Serbia,1.4540,4.7100,7.3800
2022-11-24,Portugal,Ghana,1.3140,5.5900,10.0900
2022-11-25,England,United States,1.4880,4.3300,7.6900
2022-11-25,Netherlands,Ecuador,1.8380,3.4400,4.8300
2022-11-25,Qatar,Senegal,5.6200,3.5800,1.7200
2022-11-25,Wales,Iran,2.1580,3.1800,3.8500
2022-11-26,Argentina,Mexico,1.5240,4.0200,7.2900
2022-11-26,France,Denmark,1.8200,3.5600,4.8900
2022-11-26,Poland,Saudi Arabia,1.7120,3.6500,5.5600
2022-11-26,Tunisia,Australia,2.1980,3.3100,3.5900
2022-11-27,Belgium,Morocco,1.8800,3.4300,4.5800
2022-11-27,Croatia,Canada,2.2360,3.2700,3.5600
2022-11-27,Japan,Costa Rica,1.4740,4.3000,7.8300
2022-11-27,Spain,Germany,2.5800,3.4000,2.8440
2022-11-28,Brazil,Switzerland,1.4860,4.3500,7.5500
2022-11-28,Cameroon,Serbia,5.4000,3.7600,1.7060
2022-11-28,Portugal,Uruguay,1.9620,3.3840,4.3200
2022-11-28,South Korea,Ghana,2.7300,3.1400,2.8800
2022-11-29,Ecuador,Senegal,2.4840,3.1400,3.1900
2022-11-29,Iran,United States,4.1200,3.5100,1.9840
2022-11-29,Netherlands,Qatar,1.2160,6.7900,14.7000
2022-11-29,Wales,England,8.6800,4.4500,1.4320
2022-11-30,Australia,Denmark,7.6800,4.8200,1.4340
2022-11-30,Poland,Argentina,7.9600,4.5660,1.4480
2022-11-30,Saudi Arabia,Mexico,5.3100,4.2400,1.6280
2022-11-30,Tunisia,France,5.9700,3.8600,1.6340
2022-12-01,Canada,Morocco,4.7200,3.4800,1.8440
2022-12-01,Costa Rica,Germany,25.8000,11.3000,1.0960
2022-12-01,Croatia,Belgium,3.0100,3.4600,2.4260
2022-12-01,Japan,Spain,7.0500,4.5000,1.4780
2022-12-02,Cameroon,Brazil,8.5700,5.2900,1.3620
2022-12-02,Ghana,Uruguay,4.6100,3.8600,1.7980
2022-12-02,Serbia,Switzerland,2.5700,3.3800,2.8740
2022-12-02,South Korea,Portugal,4.2900,3.8500,1.8280
2022-12-03,Argentina,Australia,1.2820,5.9600,11.1500
2022-12-03,Netherlands,United States,1.9600,3.3400,4.4500
2022-12-04,England,Senegal,1.6280,3.7800,6.5860
2022-12-04,France,Poland,1.3740,5.0600,9.2600
2022-12-05,Brazil,South Korea,1.2440,6.3200,13.2000
2022-12-05,Japan,Croatia,3.8800,3.3100,2.1040
2022-12-06,Morocco,Spain,6.3300,3.9600,1.5940
2022-12-06,Portugal,Switzerland,1.8860,3.5500,4.5100
2022-12-09,Croatia,Brazil,8.8160,4.7900,1.4040
2022-12-09,Netherlands,Argentina,3.7540,3.1500,2.2300
2022-12-10,England,France,2.8980,3.1400,2.7140
2022-12-10,Morocco,Portugal,5.9100,3.7600,1.6700
2022-12-13,Argentina,Croatia,1.9980,3.1900,4.5900
2022-12-14,France,Morocco,1.5940,3.8200,6.7600
2022-12-17,Croatia,Morocco,2.2860,3.5700,3.1740
2022-12-18,Argentina,France,2.7500,3.1200,2.8800
